date,year,treatment,outside_tmp,inside_tmp
01.02.17,2017,spring,2.1,6.1
02.02.17,2017,spring,3.1,7.1
03.02.17,2017,spring,3.4,7.4
04.02.17,2017,spring,6.6,10.6
05.02.17,2017,spring,5.1,9.1
06.02.17,2017,spring,2.5,6.5
07.02.17,2017,spring,3.2,7.2
08.02.17,2017,spring,1.2,5.2
09.02.17,2017,spring,-1.3,2.7
10.02.17,2017,spring,-1.3,2.7
11.02.17,2017,spring,0.6,4.6
12.02.17,2017,spring,-0.8,3.2
13.02.17,2017,spring,0.1,4.1
14.02.17,2017,spring,0.9,4.9
15.02.17,2017,spring,3.1,7.1
16.02.17,2017,spring,6.1,10.1
17.02.17,2017,spring,4.2,8.2
18.02.17,2017,spring,3.3,7.3
19.02.17,2017,spring,2.7,6.7
20.02.17,2017,spring,6.5,10.5
21.02.17,2017,spring,8.4,12.4
22.02.17,2017,spring,10.1,14.1
23.02.17,2017,spring,13.3,17.3
24.02.17,2017,spring,5.433,8.988
25.02.17,2017,spring,4.23,8.026
26.02.17,2017,spring,3.589,8.693
27.02.17,2017,spring,5.483,10.407
28.02.17,2017,spring,2.255,8.865
01.03.17,2017,spring,3.831,12.999
02.03.17,2017,spring,6.536,13.125
03.03.17,2017,spring,5.315,14.01
04.03.17,2017,spring,9.418,14.852
05.03.17,2017,spring,7.398,13.741
06.03.17,2017,spring,5.12,12.687
07.03.17,2017,spring,4.314,8.743
08.03.17,2017,spring,5.14,9.769
09.03.17,2017,spring,7.302,10.381
10.03.17,2017,spring,5.647,10.543
11.03.17,2017,spring,5.091,9.751
12.03.17,2017,spring,5.465,10.575
13.03.17,2017,spring,6.116,10.366
14.03.17,2017,spring,6.462,11.974
15.03.17,2017,spring,6.73,12.379
16.03.17,2017,spring,7.928,13.139
17.03.17,2017,spring,9.759,14.738
18.03.17,2017,spring,7.233,10.596
19.03.17,2017,spring,9.492,13.087
20.03.17,2017,spring,10.167,15.527
21.03.17,2017,spring,10.041,15.519
22.03.17,2017,spring,7.859,11.487
23.03.17,2017,spring,11.643,15.479
24.03.17,2017,spring,7.126,10.388
25.03.17,2017,spring,9.567,13.906
26.03.17,2017,spring,8.873,14.343
27.03.17,2017,spring,9.279,16.127
28.03.17,2017,spring,10.622,18.826
29.03.17,2017,spring,12.725,18.496
30.03.17,2017,spring,13.572,18.092
31.03.17,2017,spring,14.859,17.827
01.04.17,2017,spring,13.777,18.306
02.04.17,2017,spring,13.747,18.9
03.04.17,2017,spring,11.288,15.872
04.04.17,2017,spring,10.353,13.086
05.04.17,2017,spring,9.792,12.884
06.04.17,2017,spring,7.366,12.211
