Species,ID,Treatment,Shoot,Root,Total
Lonicera xylosteum,1,spring,104,57,161
Lonicera xylosteum,2,spring,65,50,115
Lonicera xylosteum,3,spring,111,45,156
Lonicera xylosteum,4,spring,102,76,178
Lonicera xylosteum,5,spring,99,57,156
Lonicera xylosteum,6,spring,89,67,156
Lonicera xylosteum,7,spring,90,45,135
Lonicera xylosteum,8,spring,95,43,138
Lonicera xylosteum,9,spring,100,61,161
Lonicera xylosteum,10,spring,93,40,133
Lonicera xylosteum,11,autumn-spring,77,54,131
Lonicera xylosteum,12,autumn-spring,115,73,188
Lonicera xylosteum,13,autumn-spring,83,48,131
Lonicera xylosteum,14,autumn-spring,105,52,157
Lonicera xylosteum,15,autumn-spring,85,55,140
Lonicera xylosteum,16,autumn-spring,122,65,187
Lonicera xylosteum,17,autumn-spring,92,44,136
Lonicera xylosteum,18,autumn-spring,92,68,160
Lonicera xylosteum,19,autumn-spring,104,57,161
Lonicera xylosteum,31,autumn,114,54,168
Lonicera xylosteum,32,autumn,112,40,152
Lonicera xylosteum,33,autumn,94,61,155
Lonicera xylosteum,34,autumn,113,75,188
Lonicera xylosteum,36,autumn,78,53,131
Lonicera xylosteum,37,autumn,104,58,162
Lonicera xylosteum,38,autumn,93,75,168
Lonicera xylosteum,40,autumn,73,55,128
Lonicera xylosteum,42,control,125,67,192
Lonicera xylosteum,43,control,88,56,144
Lonicera xylosteum,44,control,115,48,163
Lonicera xylosteum,45,control,97,48,145
Lonicera xylosteum,46,control,102,45,147
Lonicera xylosteum,47,control,114,54,168
Lonicera xylosteum,48,control,93,45,138
Lonicera xylosteum,49,control,82,34,116
Lonicera xylosteum,50,control,94,54,148
Fagus sylvatica,1,spring,105,104,209
Fagus sylvatica,2,spring,175,142,317
Fagus sylvatica,3,spring,158,137,295
Fagus sylvatica,5,spring,107,62,169
Fagus sylvatica,6,spring,139,163,302
Fagus sylvatica,7,spring,129,115,244
Fagus sylvatica,8,spring,152,145,297
Fagus sylvatica,9,spring,102,70,172
Fagus sylvatica,10,spring,124,143,267
Fagus sylvatica,11,autumn-spring,203,168,371
Fagus sylvatica,12,autumn-spring,78,67,145
Fagus sylvatica,13,autumn-spring,88,72,160
Fagus sylvatica,14,autumn-spring,153,100,253
Fagus sylvatica,16,autumn-spring,148,128,276
Fagus sylvatica,17,autumn-spring,73,63,136
Fagus sylvatica,18,autumn-spring,83,64,147
Fagus sylvatica,19,autumn-spring,90,72,162
Fagus sylvatica,20,autumn-spring,208,114,322
Fagus sylvatica,31,autumn,108,67,175
Fagus sylvatica,32,autumn,165,121,286
Fagus sylvatica,33,autumn,97,101,198
Fagus sylvatica,34,autumn,113,100,213
Fagus sylvatica,36,autumn,144,104,248
Fagus sylvatica,37,autumn,132,65,197
Fagus sylvatica,38,autumn,148,106,254
Fagus sylvatica,39,autumn,127,104,231
Fagus sylvatica,40,autumn,136,130,266
Fagus sylvatica,41,control,123,96,219
Fagus sylvatica,42,control,144,110,254
Fagus sylvatica,43,control,159,57,216
Fagus sylvatica,44,control,106,58,164
Fagus sylvatica,45,control,79,45,124
Fagus sylvatica,46,control,124,96,220
Fagus sylvatica,47,control,105,108,213
Fagus sylvatica,48,control,79,65,144
Fagus sylvatica,49,control,142,95,237
Fagus sylvatica,50,control,137,123,260
Quercus robur,2,spring,142,187,329
Quercus robur,3,spring,92,145,237
Quercus robur,4,spring,116,230,346
Quercus robur,5,spring,37,47,84
Quercus robur,7,spring,102,194,296
Quercus robur,8,spring,98,73,171
Quercus robur,9,spring,136,157,293
Quercus robur,10,spring,101,98,199
Quercus robur,11,autumn-spring,103,92,195
Quercus robur,12,autumn-spring,110,167,277
Quercus robur,13,autumn-spring,104,83,187
Quercus robur,14,autumn-spring,93,104,197
Quercus robur,15,autumn-spring,64,57,121
Quercus robur,16,autumn-spring,49,90,139
Quercus robur,17,autumn-spring,126,144,270
Quercus robur,18,autumn-spring,113,128,241
Quercus robur,19,autumn-spring,62,35,97
Quercus robur,20,autumn-spring,96,158,254
Quercus robur,31,autumn,34,47,81
Quercus robur,32,autumn,45,67,112
Quercus robur,33,autumn,82,46,128
Quercus robur,34,autumn,85,81,166
Quercus robur,35,autumn,20,22,42
Quercus robur,36,autumn,30,39,69
Quercus robur,37,autumn,44,42,86
Quercus robur,38,autumn,117,122,239
Quercus robur,39,autumn,38,35,73
Quercus robur,40,autumn,31,42,73
Quercus robur,41,control,101,113,214
Quercus robur,42,control,114,108,222
Quercus robur,43,control,86,72,158
Quercus robur,44,control,79,89,168
Quercus robur,45,control,75,89,164
Quercus robur,46,control,48,60,108
Quercus robur,48,control,129,125,254
Quercus robur,49,control,113,119,232
Quercus robur,50,control,52,50,102
