date,Temp_inside,LUX_inside,RH_inside,Temp_outside,LUX_outside,RH_outside
03.01.17 00:00,10.944,,,3.958,,81.026
03.01.17 01:00,10.553,,,1.805,,92.91
03.01.17 02:00,10.651,,,1.153,,95.372
03.01.17 03:00,10.944,,,1.507,,94.448
03.01.17 04:00,10.944,,,1.697,,89.653
03.01.17 05:00,10.651,,,1.643,,84.004
03.01.17 06:00,10.651,,,1.534,,83.256
03.01.17 07:00,10.846,,,1.561,,80.508
03.01.17 08:00,11.041,,,2.45,,77.139
03.01.17 09:00,12.497,,,3.617,,76.614
03.01.17 10:00,14.613,,,4.973,,76.554
03.01.17 11:00,15.282,,,5.821,,68.667
03.01.17 12:00,15.473,,,6.23,,69.863
03.01.17 13:00,15.855,,,6.661,,64.58
03.01.17 14:00,15.282,,,6.914,,62.473
03.01.17 15:00,16.427,,,7.82,,57.261
03.01.17 16:00,15.951,,,7.695,,59.354
03.01.17 17:00,15.378,,,7.419,,61.635
03.01.17 18:00,14.709,,,6.204,,66.147
03.01.17 19:00,12.98,,,5.591,,71.682
03.01.17 20:00,12.11,,,5.231,,73.261
03.01.17 21:00,11.625,,,4.973,,75.715
03.01.17 22:00,11.236,,,5.179,,72.647
03.01.17 23:00,10.846,,,6.153,,74.901
03.02.17 00:00,11.139,,,5.821,,89.385
03.02.17 01:00,10.748,,,6.102,,92.096
03.02.17 02:00,10.357,,,6.153,,93.617
03.02.17 03:00,10.748,,,6.408,,91.366
03.02.17 04:00,10.846,,,6.23,,90.507
03.02.17 05:00,10.455,,,5.975,,91.76
03.02.17 06:00,10.944,,,6.077,,91.913
03.02.17 07:00,10.357,,,6.661,,87.796
03.02.17 08:00,11.041,,,7.192,,85.377
03.02.17 09:00,11.431,,,6.611,,85.917
03.02.17 10:00,12.497,,,6.636,,71.696
03.02.17 11:00,13.173,,,7.72,,63.188
03.02.17 12:00,14.709,,,9.015,,57.241
03.02.17 13:00,16.523,,,9.657,,51.442
03.02.17 14:00,17.57,,,10.565,,51.144
03.02.17 15:00,17.189,,,10.026,,51.947
03.02.17 16:00,17.855,,,10.516,,49.614
03.02.17 17:00,16.808,,,8.568,,52.192
03.02.17 18:00,15.187,,,7.544,,50.964
03.02.17 19:00,13.558,,,6.204,,57.007
03.02.17 20:00,12.304,,,5.154,,61.31
03.02.17 21:00,12.497,,,3.327,,71.59
03.02.17 22:00,11.819,,,3.591,,66.877
03.02.17 23:00,11.334,,,2.182,,72.234
03.03.17 00:00,11.334,,,0.273,,79.954
03.03.17 01:00,11.334,,,-0.958,,86.426
03.03.17 02:00,11.236,,,-1.413,,89.995
03.03.17 03:00,10.944,,,-1.756,,90.839
03.03.17 04:00,10.944,,,-1.871,,91.64
03.03.17 05:00,11.041,,,-1.756,,91.035
03.03.17 06:00,11.041,,,-1.785,,92.295
03.03.17 07:00,10.748,,,-1.556,,88.052
03.03.17 08:00,11.041,,,-0.311,,84.203
03.03.17 09:00,12.304,,,1.832,,77.51
03.03.17 10:00,14.421,,,4.636,,60.1
03.03.17 11:00,15.473,,,6.357,,53.694
03.03.17 12:00,16.332,,,8.17,,52.376
03.03.17 13:00,16.903,,,9.632,,50.255
03.03.17 14:00,18.331,,,12.92,,44.357
03.03.17 15:00,18.426,,,14.098,,40.931
03.03.17 16:00,18.236,,,12.558,,47.858
03.03.17 17:00,17.665,,,11.467,,51.696
03.03.17 18:00,16.523,,,9.312,,59.529
03.03.17 19:00,15.187,,,7.041,,70.355
03.03.17 20:00,14.23,,,6.408,,73.335
03.03.17 21:00,13.461,,,5.949,,71.67
03.03.17 22:00,12.787,,,5.693,,70.4
03.03.17 23:00,12.207,,,4.973,,72.056
03.04.17 00:00,11.722,,,4.61,,73.518
03.04.17 01:00,11.334,,,3.88,,79.103
03.04.17 02:00,11.819,,,2.85,,84.084
03.04.17 03:00,11.236,,,2.343,,86.454
03.04.17 04:00,11.625,,,2.797,,84.717
03.04.17 05:00,11.041,,,2.903,,82.8
03.04.17 06:00,11.431,,,2.45,,83.576
03.04.17 07:00,11.431,,,2.289,,83.434
03.04.17 08:00,11.528,,,2.396,,86.977
03.04.17 09:00,12.883,,,6.458,,72.242
03.04.17 10:00,14.709,,,10.81,,54.953
03.04.17 11:00,16.046,,,12.413,,51.127
03.04.17 12:00,17.76,,,15.652,,41.901
03.04.17 13:00,17.76,,,16.225,,38.057
03.04.17 14:00,17.95,,,16.177,,35.658
03.04.17 15:00,18.236,,,16.082,,38.525
03.04.17 16:00,19.948,,,19.199,,31.41
03.04.17 17:00,19.662,,,16.63,,38.035
03.04.17 18:00,18.236,,,14.553,,40.982
03.04.17 19:00,17.094,,,12.389,,44.293
03.04.17 20:00,15.855,,,10.198,,52.184
03.04.17 21:00,14.709,,,6.611,,75.297
03.04.17 22:00,14.038,,,7.142,,73.705
03.04.17 23:00,13.461,,,8.841,,62.456
03.05.17 00:00,12.497,,,6.535,,70.48
03.05.17 01:00,11.916,,,6.281,,70.124
03.05.17 02:00,11.431,,,6.23,,68.352
03.05.17 03:00,11.139,,,6.382,,65.328
03.05.17 04:00,10.846,,,6.331,,67.837
03.05.17 05:00,11.625,,,6.179,,68.707
03.05.17 06:00,11.139,,,5.949,,70.644
03.05.17 07:00,11.528,,,5.539,,75.454
03.05.17 08:00,11.334,,,5.231,,81.341
03.05.17 09:00,11.916,,,5.565,,81.523
03.05.17 10:00,13.076,,,5.693,,81.949
03.05.17 11:00,13.846,,,6.382,,70.116
03.05.17 12:00,15.282,,,7.419,,64.772
03.05.17 13:00,16.523,,,8.891,,67.577
03.05.17 14:00,17.475,,,11.88,,48.878
03.05.17 15:00,17.665,,,10.638,,51.458
03.05.17 16:00,18.045,,,12.389,,48.545
03.05.17 17:00,17.57,,,10.1,,55.177
03.05.17 18:00,16.523,,,7.167,,61.593
03.05.17 19:00,14.996,,,6.509,,64.096
03.05.17 20:00,14.038,,,6.306,,68.478
03.05.17 21:00,13.269,,,5.488,,84.971
03.05.17 22:00,12.013,,,3.643,,88.634
03.05.17 23:00,12.304,,,2.557,,95.636
03.06.17 00:00,11.528,,,3.089,,96.099
03.06.17 01:00,11.916,,,3.301,,94.295
03.06.17 02:00,11.528,,,3.827,,90.072
03.06.17 03:00,11.236,,,4.141,,83.767
03.06.17 04:00,11.334,,,3.617,,83.981
03.06.17 05:00,11.625,,,3.564,,82.536
03.06.17 06:00,11.528,,,2.956,,83.618
03.06.17 07:00,11.528,,,2.744,,84.962
03.06.17 08:00,11.528,,,3.827,,79.489
03.06.17 09:00,13.076,,,4.376,,82.305
03.06.17 10:00,15.091,,,6,,75.469
03.06.17 11:00,16.237,,,7.066,,65.935
03.06.17 12:00,17.189,,,7.745,,67.138
03.06.17 13:00,15.569,,,8.618,,60.498
03.06.17 14:00,15.282,,,9.163,,52.699
03.06.17 15:00,15.091,,,9.262,,56.509
03.06.17 16:00,14.613,,,8.369,,63.935
03.06.17 17:00,13.75,,,7.72,,62.987
03.06.17 18:00,12.401,,,7.066,,64.995
03.06.17 19:00,11.431,,,5.179,,83.723
03.06.17 20:00,10.553,,,4.61,,91.004
03.06.17 21:00,10.161,,,4.246,,91.864
03.06.17 22:00,9.571,,,3.985,,91.896
03.06.17 23:00,8.879,,,3.722,,91.527
03.07.17 00:00,8.282,,,3.354,,90.58
03.07.17 01:00,7.983,,,3.406,,90.392
03.07.17 02:00,7.782,,,2.93,,95.568
03.07.17 03:00,7.179,,,3.089,,94.288
03.07.17 04:00,6.674,,,2.289,,94.905
